UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,ISBN,Creator,Subjects,Publisher,PublicationYear
Physical,Horizon,BOOK,2013,4,1,Go tell it on the mountain / James Baldwin.,,"Baldwin, James, 1924-1987","African American men Fiction, Racism United States Fiction, African American families New York State New York Fiction, African Americans Religion Fiction, Harlem New York N Y Fiction","Modern Library,","1994, c1953."
Digital,OverDrive,AUDIOBOOK,2013,4,1,Go Tell It On the Mountain (Unabridged),,James Baldwin,"Fiction, Literature","Blackstone Audio, Inc.",2013
Physical,Horizon,BOOK,2013,4,1,Go tell it on the mountain / James Baldwin.,,"Baldwin, James, 1924-1987","African American men Fiction, Racism United States Fiction, African American families Harlem New York N Y Fiction, African Americans Religion Fiction","Bantam Dell,",1981.
Physical,Horizon,BOOK,2013,4,4,Another country / James Baldwin.,,"Baldwin, James, 1924-1987","Racism United States Fiction, Suicide Fiction, African Americans Social conditions Fiction, New York N Y Fiction","Vintage Books,",1993.
Physical,Horizon,BOOK,2013,4,1,The cross of redemption : uncollected writings / James Baldwin ; edited and with an introduction by Randall Kenan.,,"Baldwin, James, 1924-1987",,"Pantheon Books,",2010.
Physical,Horizon,BOOK,2013,4,6,Giovanni's room / James Baldwin.,,"Baldwin, James, 1924-1987","Americans France Paris Fiction, Men Sexual behavior Fiction, Homosexuality France Paris Fiction","Delta Trade Paperbacks,",2000.
Physical,Horizon,BOOK,2013,4,3,Just above my head / James Baldwin.,,"Baldwin, James, 1924-1987","Gay men Fiction, African American families Fiction, Gospel musicians Fiction, Harlem New York N Y Fiction","Delta Trade Paperbacks,","2000, c1979."
Physical,Horizon,BOOK,2013,4,1,Notes of a native son / James Baldwin.,,"Baldwin, James, 1924-1987","Baldwin James 1924 1987, African Americans Civil rights, African Americans Social conditions To 1964, United States Race relations","Beacon Press,","c1984, c1955."
Physical,Horizon,BOOK,2013,5,14,Giovanni's room / James Baldwin.,,"Baldwin, James, 1924-1987","Americans France Paris Fiction, Men Sexual behavior Fiction, Homosexuality France Paris Fiction","Delta Trade Paperbacks,",2000.
Digital,OverDrive,AUDIOBOOK,2013,5,1,Giovanni's Room (Unabridged),,James Baldwin,"Classic Literature, Fiction","Blackstone Audio, Inc.",2013
Physical,Horizon,BOOK,2013,5,3,No name in the street / James Baldwin.,,"Baldwin, James, 1924-1987","African Americans Social conditions 1964 1975, United States Race relations History 20th century, Baldwin James 1924 1987","Vintage Books,",c2000.
Digital,OverDrive,AUDIOBOOK,2013,5,1,Another Country (Unabridged),,James Baldwin,"Fiction, Literature","Blackstone Audio, Inc.",2010
Physical,Horizon,BOOK,2013,5,1,Just above my head / James Baldwin.,,"Baldwin, James, 1924-1987","Gay men Fiction, African American families Fiction, Gospel musicians Fiction, Harlem New York N Y Fiction","Delta Trade Paperbacks,","2000, c1979."
Physical,Horizon,BOOK,2013,5,2,Go tell it on the mountain / James Baldwin.,,"Baldwin, James, 1924-1987","African American men Fiction, Racism United States Fiction, African American families Harlem New York N Y Fiction, African Americans Religion Fiction","Bantam Dell,",1981.
Digital,OverDrive,EBOOK,2013,5,1,The Cross of Redemption: Uncollected Writings,,James Baldwin,"Literary Criticism, Nonfiction","Random House, Inc.",2010
