quote,text,tweet_type,date
if i love you,"#BlackLivesMatter #If I love you..."" Why we love #JamesBaldwin http://t.co/jhUd4bqL7e #berkeleyprotests #ferguson2cal",original,2014-12-11 23:01:16+00:00
if i love you,If I love you I have to make you conscious of the things you do not see'-James Baldwin #TamirRice #TanishaAnderson http://t.co/89CifQAQPK,original,2014-12-20 17:37:30+00:00
if i love you,"""If I love you, I have to make you conscious of the things you do not see."" James Baldwin  #icantbreathe #ferguson https://t.co/OKyGqNu5HX",original,2014-12-09 19:00:14+00:00
if i love you,"""Se eu te amo, eu tenho que te conscientizar sobre as coisas que você não vê"" -James Baldwin http://t.co/KsNXpSVa4m #Ferguson #MikeBrown",original,2014-10-18 23:04:00+00:00
if i love you,#Ferguson #BlackLivesMatter #JamesBaldwin http://t.co/BYAEnbO1LM,original,2014-11-26 21:56:29+00:00
if i love you,protest poster the morning after #love #consciousness #jamesbaldwinisthebest #blacklivesmatter @… http://t.co/909gD9T68S,original,2014-12-05 17:42:05+00:00
if i love you,One of my favorite James Baldwin quotes #blacklivesmatter #Chi2Ferguson http://t.co/IrGonHgTc4,original,2014-11-28 23:13:48+00:00
if i love you,Proesting as a form of #LOVE for ones fellow community #JamesBaldwin #Ferguson #MikeBrown #VonderritMyers #STL http://t.co/7Jkp0hIrs2,original,2014-10-11 16:32:10+00:00
ignorance allied with power,"""It is certain, in any case, that ignorance, allied with power, is the most ferocious enemy justice can have"" – James Baldwin #Ferguson",original,2014-08-16 09:19:16+00:00
ignorance allied with power,"""Ignorance allied with power is the most ferocious enemy justice can have""  #JamesBaldwin #Ferguson",original,2014-08-19 16:33:41+00:00
ignorance allied with power,"""Ignorance allied with power, is the most ferocious enemy justice can have."" - James Baldwin #ferguson",original,2014-11-26 06:36:19+00:00
ignorance allied with power,"""It is certain, in any case, that ignorance, allied with power, is the most ferocious enemy justice can have."" - James Baldwin  #Ferguson",original,2014-11-25 04:19:58+00:00
ignorance allied with power,"""It is certain, in any case, that ignorance, allied with power, is the most ferocious enemy justice can have."" --James Baldwin #Ferguson",original,2014-08-18 20:21:16+00:00
ignorance allied with power,"""Ignorance, allied with power, is the most ferocious enemy justice can have""-James Baldwin.  We Seek Justice! #EricGarner",original,2014-12-04 05:25:56+00:00
ignorance allied with power,It is certain that ignorance allied with power is the most ferocious enemy justice can have. - James Baldwin #BlackLivesMatter,original,2015-01-24 17:34:33+00:00
ignorance allied with power,"#JamesBaldwin #Ferguson the lawyers, the judges, or the protected members of the middle class. 2/4",original,2014-11-25 14:37:15+00:00
ignorance allied with power,"It is certain, in any case, that ignorance, allied with power, is the most ferocious enemy justice can have."" ~ James Baldwin~ | #Ferguson",original,2014-10-27 17:36:06+00:00
ignorance allied with power,"""It is certain, in any case, that ignorance, allied with power, is the most ferocious enemy justice can have."" James Baldwin #Ferguson",original,2014-11-25 03:00:57+00:00
ignorance allied with power,"Ignorance allied with power, is the most ferocious enemy JUSTICE can have...James Baldwin #BlackLivesMatter #MichaelBrown #TamirRice",original,2014-12-29 23:33:42+00:00
ignorance allied with power,"""It is certain, in any case, that ignorance, allied with power, is the most ferocious enemy justice can have."" ~ James Baldwin~ | #TamirRice",original,2014-12-30 15:29:40+00:00
