UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,Creator,Subjects,Publisher,PublicationYear
Digital,OverDrive,EBOOK,2020,1,26,The Fire Next Time,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2020,1,16,The Fire Next Time (Unabridged),James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Blackstone Audio, Inc.",2008
Digital,OverDrive,AUDIOBOOK,2020,1,38,If Beale Street Could Talk (Unabridged),James Baldwin,"Classic Literature, Fiction, Literature","Blackstone Audio, Inc.",2018
Digital,OverDrive,EBOOK,2020,2,21,The Fire Next Time,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Random House, Inc.",2013
Digital,OverDrive,EBOOK,2020,2,26,If Beale Street Could Talk,James Baldwin,"African American Fiction, Fiction","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2020,2,38,If Beale Street Could Talk (Unabridged),James Baldwin,"Classic Literature, Fiction, Literature","Blackstone Audio, Inc.",2018
Physical,Horizon,BOOK,2020,2,17,The Fire Next Time,James Baldwin,"African Americans, Black Muslims, United States Race relations","Vintage International Vintage Books,",1993
Digital,OverDrive,AUDIOBOOK,2020,2,31,Giovanni's Room (Unabridged),James Baldwin,"Classic Literature, Fiction","Blackstone Audio, Inc.",2013
Digital,OverDrive,EBOOK,2020,3,30,If Beale Street Could Talk,James Baldwin,"African American Fiction, Fiction","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2020,3,28,If Beale Street Could Talk (Unabridged),James Baldwin,"Classic Literature, Fiction, Literature","Blackstone Audio, Inc.",2018
Digital,OverDrive,AUDIOBOOK,2020,3,19,Giovanni's Room (Unabridged),James Baldwin,"Classic Literature, Fiction","Blackstone Audio, Inc.",2013
Digital,OverDrive,EBOOK,2020,4,28,If Beale Street Could Talk,James Baldwin,"African American Fiction, Fiction","Random House, Inc.",2013
Digital,OverDrive,EBOOK,2020,4,24,The Fire Next Time,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2020,4,36,If Beale Street Could Talk (Unabridged),James Baldwin,"Classic Literature, Fiction, Literature","Blackstone Audio, Inc.",2018
Digital,OverDrive,AUDIOBOOK,2020,4,19,Giovanni's Room (Unabridged),James Baldwin,"Classic Literature, Fiction","Blackstone Audio, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2020,5,31,If Beale Street Could Talk (Unabridged),James Baldwin,"Classic Literature, Fiction, Literature","Blackstone Audio, Inc.",2018
Digital,OverDrive,EBOOK,2020,5,26,If Beale Street Could Talk,James Baldwin,"African American Fiction, Fiction","Random House, Inc.",2013
Digital,OverDrive,EBOOK,2020,5,16,The Fire Next Time,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Random House, Inc.",2013
Digital,OverDrive,EBOOK,2020,6,18,If Beale Street Could Talk,James Baldwin,"African American Fiction, Fiction","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2020,6,24,If Beale Street Could Talk (Unabridged),James Baldwin,"Classic Literature, Fiction, Literature","Blackstone Audio, Inc.",2018
Digital,OverDrive,EBOOK,2020,6,66,The Fire Next Time,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2020,6,68,The Fire Next Time (Unabridged),James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Blackstone Audio, Inc.",2008
Digital,OverDrive,EBOOK,2020,7,23,Go Tell It on the Mountain,James Baldwin,"African American Fiction, Fiction, Literature","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2020,7,16,Giovanni's Room (Unabridged),James Baldwin,"Classic Literature, Fiction","Blackstone Audio, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2020,7,26,If Beale Street Could Talk (Unabridged),James Baldwin,"Classic Literature, Fiction, Literature","Blackstone Audio, Inc.",2018
Digital,OverDrive,EBOOK,2020,7,19,Giovanni's Room,James Baldwin,"African American Fiction, Fiction, Literature","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2020,7,17,Go Tell It On the Mountain (Unabridged),James Baldwin,"Fiction, Literature","Blackstone Audio, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2020,7,66,The Fire Next Time (Unabridged),James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Blackstone Audio, Inc.",2008
Digital,OverDrive,EBOOK,2020,7,69,The Fire Next Time,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Random House, Inc.",2013
Digital,OverDrive,EBOOK,2020,7,22,If Beale Street Could Talk,James Baldwin,"African American Fiction, Fiction","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2020,7,18,Notes of a Native Son (Unabridged),James Baldwin,"Literary Criticism, Nonfiction, Sociology","Blackstone Audio, Inc.",2015
Digital,OverDrive,EBOOK,2020,7,19,Notes of a Native Son,James Baldwin,"African American Nonfiction, Literary Criticism, Nonfiction, Sociology","Random House, Inc.",2014
Digital,OverDrive,AUDIOBOOK,2020,8,40,If Beale Street Could Talk (Unabridged),James Baldwin,"Classic Literature, Fiction, Literature","Blackstone Audio, Inc.",2018
Digital,OverDrive,AUDIOBOOK,2020,8,17,Giovanni's Room (Unabridged),James Baldwin,"Classic Literature, Fiction","Blackstone Audio, Inc.",2013
Digital,OverDrive,EBOOK,2020,8,27,If Beale Street Could Talk,James Baldwin,"African American Fiction, Fiction","Random House, Inc.",2013
Digital,OverDrive,EBOOK,2020,8,75,The Fire Next Time,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Random House, Inc.",2013
Digital,OverDrive,EBOOK,2020,8,15,Giovanni's Room,James Baldwin,"African American Fiction, Fiction, Literature","Random House, Inc.",2013
Digital,OverDrive,EBOOK,2020,8,18,Notes of a Native Son,James Baldwin,"African American Nonfiction, Literary Criticism, Nonfiction, Sociology","Random House, Inc.",2014
Digital,OverDrive,AUDIOBOOK,2020,8,19,Notes of a Native Son (Unabridged),James Baldwin,"Literary Criticism, Nonfiction, Sociology","Blackstone Audio, Inc.",2015
Digital,OverDrive,EBOOK,2020,8,19,Go Tell It on the Mountain,James Baldwin,"African American Fiction, Fiction, Literature","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2020,8,17,Go Tell It On the Mountain (Unabridged),James Baldwin,"Fiction, Literature","Blackstone Audio, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2020,8,74,The Fire Next Time (Unabridged),James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Blackstone Audio, Inc.",2008
Digital,OverDrive,EBOOK,2020,9,19,Giovanni's Room,James Baldwin,"African American Fiction, Fiction, Literature","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2020,9,62,The Fire Next Time (Unabridged),James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Blackstone Audio, Inc.",2008
Digital,OverDrive,EBOOK,2020,9,25,If Beale Street Could Talk,James Baldwin,"African American Fiction, Fiction","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2020,9,16,Go Tell It On the Mountain (Unabridged),James Baldwin,"Fiction, Literature","Blackstone Audio, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2020,9,31,If Beale Street Could Talk (Unabridged),James Baldwin,"Classic Literature, Fiction, Literature","Blackstone Audio, Inc.",2018
Digital,OverDrive,EBOOK,2020,9,19,Notes of a Native Son,James Baldwin,"African American Nonfiction, Literary Criticism, Nonfiction, Sociology","Random House, Inc.",2014
Digital,OverDrive,EBOOK,2020,9,72,The Fire Next Time,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Random House, Inc.",2013
Digital,OverDrive,EBOOK,2020,9,18,Go Tell It on the Mountain,James Baldwin,"African American Fiction, Fiction, Literature","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2020,9,18,Notes of a Native Son (Unabridged),James Baldwin,"Literary Criticism, Nonfiction, Sociology","Blackstone Audio, Inc.",2015
Digital,OverDrive,AUDIOBOOK,2020,10,36,If Beale Street Could Talk (Unabridged),James Baldwin,"Classic Literature, Fiction, Literature","Blackstone Audio, Inc.",2018
Digital,OverDrive,AUDIOBOOK,2020,10,66,The Fire Next Time (Unabridged),James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Blackstone Audio, Inc.",2008
Digital,OverDrive,EBOOK,2020,10,24,If Beale Street Could Talk,James Baldwin,"African American Fiction, Fiction","Random House, Inc.",2013
Digital,OverDrive,EBOOK,2020,10,19,Go Tell It on the Mountain,James Baldwin,"African American Fiction, Fiction, Literature","Random House, Inc.",2013
Digital,OverDrive,EBOOK,2020,10,67,The Fire Next Time,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2020,10,16,Go Tell It On the Mountain (Unabridged),James Baldwin,"Fiction, Literature","Blackstone Audio, Inc.",2013
Digital,OverDrive,EBOOK,2020,10,20,Notes of a Native Son,James Baldwin,"African American Nonfiction, Literary Criticism, Nonfiction, Sociology","Random House, Inc.",2014
Digital,OverDrive,EBOOK,2020,10,15,Giovanni's Room,James Baldwin,"African American Fiction, Fiction, Literature","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2020,10,17,Giovanni's Room (Unabridged),James Baldwin,"Classic Literature, Fiction","Blackstone Audio, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2020,11,27,If Beale Street Could Talk (Unabridged),James Baldwin,"Classic Literature, Fiction, Literature","Blackstone Audio, Inc.",2018
Digital,OverDrive,EBOOK,2020,11,86,The Fire Next Time,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2020,11,15,Go Tell It On the Mountain (Unabridged),James Baldwin,"Fiction, Literature","Blackstone Audio, Inc.",2013
Digital,OverDrive,EBOOK,2020,11,25,Giovanni's Room,James Baldwin,"African American Fiction, Fiction, Literature","Random House, Inc.",2013
